basename,wav_path,lab_path,textgrid_aligned_one_path,textgrid_aligned_out_path,wav_duration_s,wav_mtime_utc,textgrid_mtime_utc,words_nonempty_coverage_s,words_nonempty_count,words_interval_count,phones_nonempty_coverage_s,phones_nonempty_count,phones_interval_count,legacy_alignment_analysis_json
1-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/1-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/1-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/1-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/1-1.TextGrid,19.227000,2026-04-25T18:53:47.702577+00:00,2026-04-26T15:23:44.260592+00:00,19.226999,51,52,19.226999,132,133,"{""file"": ""1-1"", ""begin"": ""0.0"", ""end"": ""19.227"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.59575695527821"", ""speech_log_likelihood"": ""-47.17059783305018"", ""phone_duration_deviation"": ""4.389598881027725"", ""snr"": ""21.25545545038824""}"
1-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/1-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/1-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/1-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/1-2.TextGrid,16.107000,2026-04-25T18:53:54.643996+00:00,2026-04-26T15:24:06.744597+00:00,16.107000,42,42,16.107000,114,114,"{""file"": ""1-2"", ""begin"": ""0.0"", ""end"": ""16.107"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.88561549503414"", ""speech_log_likelihood"": ""-48.05836435953776"", ""phone_duration_deviation"": ""3.0884482535458555"", ""snr"": ""20.854000153879042""}"
2-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/2-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/2-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/2-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/2-1.TextGrid,18.642000,2026-04-25T18:54:01.128128+00:00,2026-04-26T15:32:26.356480+00:00,18.642000,45,45,18.642000,116,116,"{""file"": ""2-1"", ""begin"": ""0.0"", ""end"": ""18.642"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-44.103117455740346"", ""speech_log_likelihood"": ""-48.249034478114204"", ""phone_duration_deviation"": ""3.9102953458294616"", ""snr"": ""15.120473627507707""}"
2-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/2-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/2-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/2-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/2-2.TextGrid,18.486000,2026-04-25T18:54:08.231720+00:00,2026-04-26T15:32:35.616475+00:00,18.486000,51,51,18.486000,113,113,"{""file"": ""2-2"", ""begin"": ""0.0"", ""end"": ""18.486"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.82073080043266"", ""speech_log_likelihood"": ""-47.762640433736365"", ""phone_duration_deviation"": ""4.05639433921701"", ""snr"": ""19.25228535516575""}"
3-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/3-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/3-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/3-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/3-1.TextGrid,17.927000,2026-04-25T18:54:14.333856+00:00,2026-04-26T15:34:25.004458+00:00,17.927000,40,40,17.927000,111,111,"{""file"": ""3-1"", ""begin"": ""0.0"", ""end"": ""17.927"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-41.413565776631344"", ""speech_log_likelihood"": ""-47.86078147517825"", ""phone_duration_deviation"": ""3.4107586961051353"", ""snr"": ""23.67524749825539""}"
3-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/3-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/3-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/3-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/3-2.TextGrid,16.991000,2026-04-25T18:54:18.940897+00:00,2026-04-26T15:34:50.812460+00:00,16.990999,45,46,16.990999,111,112,"{""file"": ""3-2"", ""begin"": ""0.0"", ""end"": ""16.991"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.163588875809296"", ""speech_log_likelihood"": ""-47.72137787318466"", ""phone_duration_deviation"": ""5.589058315098018"", ""snr"": ""20.842178715961325""}"
4-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/4-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/4-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/4-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/4-2.TextGrid,19.409000,2026-04-25T18:54:34.978371+00:00,2026-04-26T15:35:24.508458+00:00,19.409000,53,53,19.409000,137,137,"{""file"": ""4-2"", ""begin"": ""0.0"", ""end"": ""19.409"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.81153400309119"", ""speech_log_likelihood"": ""-48.4740502582333"", ""phone_duration_deviation"": ""3.2843584846404372"", ""snr"": ""16.975683291061074""}"
5-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/5-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/5-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/5-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/5-1.TextGrid,19.058000,2026-04-25T18:54:39.310997+00:00,2026-04-26T15:35:41.864446+00:00,19.058000,49,49,19.058000,140,140,"{""file"": ""5-1"", ""begin"": ""0.0"", ""end"": ""19.058"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.79801859260231"", ""speech_log_likelihood"": ""-47.440889550733935"", ""phone_duration_deviation"": ""4.496813552367356"", ""snr"": ""23.45525409465114""}"
5-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/5-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/5-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/5-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/5-2.TextGrid,17.316000,2026-04-25T18:54:45.194383+00:00,2026-04-26T15:36:10.888447+00:00,17.316000,47,47,17.316000,126,126,"{""file"": ""5-2"", ""begin"": ""0.0"", ""end"": ""17.316"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.318738272228636"", ""speech_log_likelihood"": ""-48.96426199236487"", ""phone_duration_deviation"": ""8.804613772354626"", ""snr"": ""18.397807776482942""}"
6-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/6-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/6-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/6-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/6-2.TextGrid,17.199000,2026-04-25T18:54:50.016509+00:00,2026-04-26T15:36:39.188435+00:00,17.198999,51,52,17.198999,124,125,"{""file"": ""6-2"", ""begin"": ""0.0"", ""end"": ""17.199"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.22885628633721"", ""speech_log_likelihood"": ""-46.70185815876928"", ""phone_duration_deviation"": ""3.083991344125406"", ""snr"": ""22.360666713006424""}"
7-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/7-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/7-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/7-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/7-1.TextGrid,21.307000,2026-04-25T18:54:54.629473+00:00,2026-04-26T15:36:56.944439+00:00,21.306999,48,49,21.306999,127,128,"{""file"": ""7-1"", ""begin"": ""0.0"", ""end"": ""21.307"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.87268301267011"", ""speech_log_likelihood"": ""-47.179216627347266"", ""phone_duration_deviation"": ""3.0310649179114"", ""snr"": ""22.741959391492344""}"
7-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/7-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/7-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/7-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/7-2.TextGrid,20.098000,2026-04-25T18:54:59.632533+00:00,2026-04-26T15:37:10.700437+00:00,20.098000,53,53,20.098000,124,124,"{""file"": ""7-2"", ""begin"": ""0.0"", ""end"": ""20.098"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.11957400497512"", ""speech_log_likelihood"": ""-47.40813544818333"", ""phone_duration_deviation"": ""3.748813158455222"", ""snr"": ""22.23328611144756""}"
8-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/8-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/8-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/8-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/8-1.TextGrid,24.206000,2026-04-25T19:05:39.755559+00:00,2026-04-26T15:37:48.432430+00:00,24.205999,55,56,24.205999,147,148,"{""file"": ""8-1"", ""begin"": ""0.0"", ""end"": ""24.206"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.440449452705494"", ""speech_log_likelihood"": ""-47.08659671866981"", ""phone_duration_deviation"": ""3.788147971388012"", ""snr"": ""21.920232853087548""}"
8-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/8-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/8-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/8-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/8-2.TextGrid,23.244000,2026-04-25T19:05:35.148089+00:00,2026-04-26T15:38:26.488418+00:00,23.243999,54,55,23.243999,164,165,"{""file"": ""8-2"", ""begin"": ""0.0"", ""end"": ""23.244"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.47767184810671"", ""speech_log_likelihood"": ""-47.24209958856756"", ""phone_duration_deviation"": ""3.8696439927621196"", ""snr"": ""21.748018945447775""}"
9-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/9-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/9-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/9-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/9-1.TextGrid,19.123000,2026-04-25T19:05:46.426448+00:00,2026-04-26T15:38:59.916411+00:00,19.122999,42,43,19.122999,113,114,"{""file"": ""9-1"", ""begin"": ""0.0"", ""end"": ""19.123"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-41.0819617873954"", ""speech_log_likelihood"": ""-47.700705726191686"", ""phone_duration_deviation"": ""2.6461929533213824"", ""snr"": ""22.474609063960152""}"
9-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/9-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/9-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/9-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/9-2.TextGrid,18.213000,2026-04-25T19:05:50.535435+00:00,2026-04-26T15:39:17.348403+00:00,18.212999,53,54,18.212999,131,132,"{""file"": ""9-2"", ""begin"": ""0.0"", ""end"": ""18.213"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.5312414195497"", ""speech_log_likelihood"": ""-47.66854629516602"", ""phone_duration_deviation"": ""4.04269588857252"", ""snr"": ""20.42726106081633""}"
10-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/10-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/10-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/10-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/10-1.TextGrid,19.162000,2026-04-25T19:05:54.664272+00:00,2026-04-26T15:24:33.852597+00:00,19.162000,44,44,19.162000,113,113,"{""file"": ""10-1"", ""begin"": ""0.0"", ""end"": ""19.162"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.02362506524008"", ""speech_log_likelihood"": ""-48.00225452241443"", ""phone_duration_deviation"": ""5.219587794693933"", ""snr"": ""24.09628636856958""}"
10-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/10-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/10-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/10-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/10-2.TextGrid,18.954000,2026-04-25T19:06:03.080492+00:00,2026-04-26T15:24:43.508595+00:00,18.954000,48,48,18.954000,126,126,"{""file"": ""10-2"", ""begin"": ""0.0"", ""end"": ""18.954"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.012046503957784"", ""speech_log_likelihood"": ""-47.73462410630851"", ""phone_duration_deviation"": ""3.984542970636248"", ""snr"": ""19.440213323338888""}"
11-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/11-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/11-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/11-1.TextGrid,,18.941000,2026-04-26T15:17:36.841091+00:00,2026-04-26T15:25:01.380603+00:00,18.941000,46,46,18.941000,128,128,
11-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/11-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/11-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/11-2.TextGrid,,19.214000,2026-04-26T15:17:40.817781+00:00,2026-04-26T15:25:34.936571+00:00,19.214000,47,47,19.214000,114,114,
12-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/12-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/12-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/12-1.TextGrid,,18.434000,2026-04-26T15:17:45.209107+00:00,2026-04-26T15:26:04.452545+00:00,18.434000,43,43,18.434000,122,122,
12-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/12-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/12-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/12-2.TextGrid,,17.966000,2026-04-26T15:17:49.652015+00:00,2026-04-26T15:26:19.928537+00:00,17.966000,44,44,17.966000,122,122,
13-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/13-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/13-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/13-1.TextGrid,,20.865000,2026-04-26T15:17:53.338612+00:00,2026-04-26T15:26:43.644554+00:00,20.865000,51,51,20.865000,142,142,
13-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/13-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/13-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/13-2.TextGrid,,18.187000,2026-04-26T15:17:57.123640+00:00,2026-04-26T15:27:16.020562+00:00,18.187000,45,45,18.187000,114,114,
14-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/14-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/14-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/14-1.TextGrid,,21.385000,2026-04-26T15:18:00.997000+00:00,2026-04-26T15:27:42.432546+00:00,21.385000,49,49,21.385000,138,138,
14-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/14-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/14-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/14-2.TextGrid,,18.421000,2026-04-26T15:18:04.756459+00:00,2026-04-26T15:27:51.648548+00:00,18.421000,47,47,18.421000,120,120,
15-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/15-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/15-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/15-1.TextGrid,,18.967000,2026-04-26T15:18:09.954835+00:00,2026-04-26T15:28:17.752527+00:00,18.966999,42,43,18.966999,115,116,
15-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/15-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/15-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/15-2.TextGrid,,19.058000,2026-04-26T15:18:14.071181+00:00,2026-04-26T15:28:45.468545+00:00,19.058000,46,46,19.058000,131,131,
16-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/16-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/16-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/16-1.TextGrid,,20.046000,2026-04-26T15:18:18.208663+00:00,2026-04-26T15:29:11.992522+00:00,20.046000,44,44,20.046000,128,128,
16-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/16-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/16-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/16-2.TextGrid,,17.095000,2026-04-26T15:18:23.071676+00:00,2026-04-26T15:29:38.960508+00:00,17.094999,45,46,17.094999,118,119,
17-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/17-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/17-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/17-1.TextGrid,,20.137000,2026-04-26T15:18:27.459793+00:00,2026-04-26T15:30:11.348501+00:00,20.136999,43,44,20.136999,133,134,
17-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/17-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/17-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/17-2.TextGrid,,19.656000,2026-04-26T15:18:31.880358+00:00,2026-04-26T15:30:29.304507+00:00,19.656000,45,45,19.656000,122,122,
18-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/18-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/18-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/18-1.TextGrid,,20.501000,2026-04-26T15:18:36.154463+00:00,2026-04-26T15:30:52.036529+00:00,20.500999,47,48,20.500999,130,131,
18-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/18-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/18-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/18-2.TextGrid,,19.929000,2026-04-26T15:18:41.511020+00:00,2026-04-26T15:31:07.036523+00:00,19.929000,46,46,19.929000,128,128,
19-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/19-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/19-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/19-1.TextGrid,,15.444000,2026-04-26T15:18:45.484289+00:00,2026-04-26T15:31:37.140509+00:00,15.444000,40,40,15.444000,113,113,
19-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/19-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/19-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/19-2.TextGrid,,17.693000,2026-04-26T15:18:49.989274+00:00,2026-04-26T15:32:00.700495+00:00,17.693000,43,43,17.693000,124,124,
20-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/20-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/20-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/20-1.TextGrid,,20.072000,2026-04-26T15:18:55.525322+00:00,2026-04-26T15:33:10.428485+00:00,20.072000,55,55,20.072000,141,141,
20-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/20-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/20-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/20-2.TextGrid,,17.030000,2026-04-26T15:19:00.066020+00:00,2026-04-26T15:33:48.132469+00:00,17.030000,42,42,17.030000,113,113,
